ID,流动比率,资产负债率,销售毛利率,净资产收益率,投入资本回报率,总资产报酬率,应收款周转率,营业收入,所得税,销售额,经营活动产生的现金流量净额,净利润,资产总计,负债合计,所有者权益合计,COUNT(data)_资产负债率_x,COUNT(data)_应收款周转率_x,MEDIAN(data.应收款周转率.COUNT(data))_流动比率,STD(data.净资产收益率.COUNT(data))_流动比率,STD(data.总资产报酬率.COUNT(data))_流动比率,SUM(data.流动比率.COUNT(data))_资产负债率,MAX(data.流动比率.COUNT(data))_销售毛利率,SUM(data.总资产报酬率.COUNT(data))_销售毛利率,MEAN(data.应收款周转率.COUNT(data))_净资产收益率,SUM(data.资产负债率.COUNT(data))_净资产收益率,MEAN(data.流动比率.COUNT(data))_投入资本回报率
10,1.8434,46.5414,42.3592,31.3449,28.9626,21.1265,2.7203,352845751.32,13929193.87,482414172.44,105982847.14,74802790.64,521203901.96,242575433.35,278628468.61,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0
11,1.5559,29.703,45.9142,12.4137,11.3623,9.389,16.1932,810205696.0,10858097.0,892713327.0,102232577.0,65580924.0,848776471.0,252111892.0,596664579.0,1.0,1.0,1.0,0.0,0.7071067811865476,2.0,2.0,1.0,1.0,1.0,2.0
12,1.8004,49.9342,26.1395,7.8619,10.0121,6.7048,8.4506,4227745965.28,16439813.89,4770069902.32,107373057.8,216577936.24,4546819933.07,2270420035.89,2276399897.18,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
13,4.2634,16.468,52.4524,15.3535,14.7934,14.3041,3.2211,415373907.91,18645276.42,333075125.36,5380067.03,107774786.09,1061827807.34,174861893.79,886965913.55,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
14,0.9798,48.5429,22.7194,1.1471,2.407,1.7654,3.6831,307625843.56,898725.15,211757722.15,8070415.51,6933518.88,967311900.76,469560951.29,497750949.47,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
15,1.5149,41.932,34.641,6.2207,5.5724,5.8773,1.804,938970243.46,14782654.21,624286230.51,41371119.95,62707970.21,1729908009.93,725384765.98,1004523243.95,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0
16,2.8395,27.4413,48.3068,25.2158,22.6054,21.5011,2.5636,148915351.98,5685286.3,106682541.45,-1482200.43,30337428.22,211686247.06,58089450.97,153596796.09,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
17,0.7715,52.3871,31.1787,8.3369,6.9951,6.4861,5.4083,390137019.6,15446332.43,380741841.37,-223997871.39,64048126.83,1743476066.59,913357066.43,830119000.16,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
18,2.6243,28.4858,34.7982,9.2971,8.3092,7.6091,2.7452,183437344.0,2068853.64,163842650.35,3926095.66,20856870.7,340986273.81,97132689.4,243853584.41,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
19,2.464,31.8534,23.5707,1.4588,1.5581,2.7381,2.4278,384919110.52,6271872.85,449194983.41,81053506.22,6543358.07,585330324.99,186447892.07,398882432.92,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
20,1.3593,54.8328,14.3964,6.9796,6.855,3.2298,5.2648,2486540276.49,,2474902197.43,197916499.19,60600502.44,2351257802.39,1289259509.38,1061998293.01,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
21,3.6147,12.968,41.2138,12.5162,11.8777,12.6715,8.4597,639954962.08,24829644.2,528485636.89,86467606.26,125254697.65,1282754278.15,166347154.31,1116407123.84,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
22,1.7738,45.6315,25.4311,10.4042,8.8825,8.6015,2.1427,934617904.92,10458642.77,915525694.93,-60849754.89,54015830.28,972131318.85,443598554.33,528532764.52,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
23,15.0318,6.282,81.6734,18.1821,17.7793,19.5774,6.0288,332970763.55,19690795.56,312562012.71,121767442.15,146847968.53,940143209.02,59059799.25,881083409.77,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0
24,3.3236,15.126,29.8455,12.9398,12.5518,12.6585,9.6723,1125867749.57,24665298.85,1202382517.68,162870340.73,163595744.85,1949506065.75,294882770.86,1654623294.89,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
25,2.0037,36.0822,21.6278,14.9192,15.0647,11.5672,4.4241,1978567897.31,26619571.06,1715187029.81,185829741.66,182930174.5,2102569475.78,758653872.66,1343915603.12,1.0,2.0,2.0,,,1.0,1.0,1.0,1.5,2.0,1.0
26,2.0458,27.8077,38.8234,22.161,19.5258,18.0351,3.7253,512608692.88,14548321.69,515577280.67,103656647.19,89470190.63,610590177.17,169791151.15,440799026.02,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
27,2.5804,27.7651,36.3271,29.2515,24.6878,24.531,3.3561,456558352.35,15417610.74,406981699.94,62493581.47,87624003.03,476364251.89,132263021.01,344101230.88,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
28,6.2887,14.097,33.7008,11.4603,11.3584,11.0414,5.0983,1289024399.02,31625214.98,1417217213.34,246353884.82,217640562.17,2253989574.68,317744141.74,1936245432.94,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0
29,1.2749,69.3621,42.3986,,15.9509,11.531,2.0806,509718711.93,15255875.17,480154052.21,37040323.7,73895578.81,797279334.68,553009565.71,244269768.97,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0
30,6.5468,10.5136,50.6976,3.668,3.5555,4.5515,25.0729,300298175.55,11085483.52,356300508.57,69954900.24,28812638.89,885847788.64,93134764.33,792713024.31,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
31,0.8768,55.0893,23.8632,12.543,8.6637,7.2165,6.8187,13918072572.0,75041603.0,11214637264.0,1118870818.0,1047678102.0,19385995623.0,10679618105.0,8706377518.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
32,2.0216,36.3325,28.2843,,7.135,7.8133,1.3162,626007385.6,23058228.46,455431043.7,162567580.57,72019981.14,1372309098.91,498593784.56,873715314.35,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0
33,1.0187,68.4216,18.3085,11.5144,4.1708,3.8106,7.9967,113360076000.0,879182000.0,123443026000.0,10486579000.0,4065198000.0,192763943000.0,131892270000.0,60871673000.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
34,1.5784,48.4704,17.5498,13.7703,11.2753,9.1416,3.9565,1023749573.46,9348956.94,608696411.22,3793324.32,56152936.72,825477916.56,400112381.83,425365534.73,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0
35,3.3267,23.5824,36.3003,4.9073,3.5039,3.6933,3.1694,685622485.51,6963144.82,726581898.85,61522437.86,49105715.19,1594536205.39,376030156.11,1218506049.28,1.0,2.0,1.5,0.7071067811865476,0.0,2.0,2.0,1.0,2.0,1.0,2.0
36,1.7457,34.7704,35.6156,24.1816,21.218,18.3311,4.3431,313408831.94,7634445.63,285872395.68,57060435.06,47810860.41,339673886.34,118105824.86,221568061.48,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
37,2.6324,15.5648,27.026,4.9534,4.5663,5.5968,9.4352,662634792.92,26571219.79,670608460.22,64617568.62,80740032.72,1949212889.32,303390376.14,1645822513.18,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
38,1.6573,53.6096,32.8233,64.2191,64.0301,37.0304,5.7498,823481366.18,19269523.28,623776277.66,149276352.67,117814173.41,499569540.33,267817477.66,231752062.67,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
39,1.1434,32.2564,50.9396,14.4303,13.0971,12.8384,966.0531,193946178.62,10714209.66,202996082.73,83040109.61,48681359.69,490204783.54,158122373.7,332082409.84,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
40,0.4822,46.96,16.5701,8.1603,7.2697,5.9217,71.7513,3027294011.42,24282472.11,3485489722.73,353030302.21,102144071.58,2437925335.83,1144850794.9,1293074540.93,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0
41,0.9174,50.906,22.6301,6.0116,5.4681,5.0467,6.9668,2150841213.13,-16987933.27,2297924079.08,394962696.82,135966833.98,4721753325.44,2403657285.5,2318096039.94,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
42,1.4638,46.119,20.1541,0.5603,1.1717,0.9528,3.6526,1004355166.88,-234774.82,769309340.41,-74297788.43,6688032.94,1922943205.31,886841268.81,1036101936.5,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
43,1.8233,50.8261,31.9612,6.8771,5.2124,4.6709,1.2969,2527415275.1,41741956.23,2079476370.28,-190975018.52,213812595.89,6765000908.12,3438389023.4,3326611884.72,1.0,2.0,1.5,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0
44,0.9223,75.9463,39.5422,5.0123,3.435,2.4591,4.5482,5676351554.6,10115143.57,5118054916.94,-301199612.07,92057730.81,10593040939.26,8045025782.89,2548015156.37,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0
45,1.8235,20.3785,27.9475,7.2992,6.6776,7.2181,5.7771,1577468307.46,28070929.86,1596006226.59,257563652.31,206442424.06,3620042070.25,737711405.98,2882330664.27,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
46,2.1432,31.9191,60.3705,33.2254,33.0046,21.8326,9.2223,638236192.35,12679420.84,654604780.28,-401771325.13,382830174.59,2001189726.03,638761274.87,1362428451.16,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
47,1.9186,56.5271,31.4858,13.7907,10.6809,8.2609,1.9595,972689554.79,15960265.29,1137234600.71,112788471.93,88843095.0,1546783462.02,874351169.55,672432292.47,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0
48,5.3245,19.5082,53.4871,33.5179,32.8498,27.9172,13.7881,1227514932.7,15454087.03,1218707427.65,226831376.34,346915961.58,1474693276.72,287685623.73,1187007652.99,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
49,2.0962,24.0714,23.3927,6.8383,6.5066,7.5138,4.1073,320909160.88,8324539.6,349254972.88,23899243.37,37901717.49,751457603.71,180886641.81,570570961.9,1.0,2.0,1.5,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0
50,2.2006,33.3652,44.6167,13.6734,12.9306,10.5632,5.744,718186789.63,31191817.08,676076667.27,-23242085.09,185416229.6,1996958032.82,666288236.5,1330669796.32,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0
51,2.8472,32.7447,32.0884,7.6739,6.7683,4.6914,1.4788,427774807.22,2986147.09,438858725.34,-7024416.01,31166842.55,627052722.98,205326749.83,421725973.15,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
52,2.1189,46.0804,37.2221,,23.4285,12.5681,10.6226,108938120.69,,103709602.33,15953288.16,10530796.67,83789558.26,38610543.27,45179014.99,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0
53,1.6713,56.4195,38.9729,47.4419,38.733,24.1765,2.9073,1159431477.44,35303096.68,894606651.14,122393630.42,229297520.31,1374315529.96,775382235.74,598933294.22,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
54,1.8941,36.304,20.8278,14.891,13.6724,11.6987,4.5208,1292260482.23,28707781.49,927202085.76,-64273075.42,100093667.17,1393073475.27,505742046.18,887331429.09,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
55,2.0974,40.9531,14.3193,14.4038,13.0464,9.2612,2.7862,1178311243.83,6452587.2,1402069781.57,-35489061.05,67917715.06,923733307.65,378297812.71,545435494.94,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
56,1.7369,49.5707,70.8508,50.1295,50.1108,34.9636,3.4089,162329941.87,11746895.11,234996036.66,121776363.24,69259680.17,298023780.51,147732540.45,150291240.06,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
57,3.4118,24.3068,66.2127,47.3919,42.7282,40.4333,3.7295,14551285132.73,1149705092.58,13357771387.9,3782842145.12,5792227174.51,19021510376.18,4623525918.66,14397984457.52,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
58,4.8193,19.269,25.1477,3.5416,0.613,1.6152,7.382,334979108.0,3175577.15,352854412.06,-32194680.19,4328620.37,469066868.98,90384577.5,378682291.48,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0
59,13.5067,19.0456,42.2048,2.8573,2.6457,2.4483,126.3531,48815792.46,5665085.45,51732310.25,-9863085.84,65037135.33,2860706168.87,544839135.31,2315867033.56,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
60,0.5896,71.3345,37.8601,14.8336,8.9328,6.1936,2.5781,1219073863.55,20799087.09,1299637783.5,826970881.16,211325114.92,6689678053.62,4772047508.82,1917630544.8,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
61,1.4942,45.4227,28.8651,13.8373,11.1206,9.7783,5.4554,2991497043.77,69327266.91,2980689445.35,309041088.71,426526763.03,5955543059.66,2705169687.06,3250373372.6,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
62,1.1784,45.7853,33.6426,7.8159,7.4077,7.0301,4.4853,568078119.31,7283019.28,554226104.96,65244133.39,55639940.99,1224536028.52,560657870.77,663878157.75,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
63,7.0227,13.1201,52.1952,21.1512,20.7122,21.9633,33.115,737323133.03,32164454.85,772517715.24,191575236.54,185297435.01,985511075.77,129299645.76,856211430.01,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
64,2.0637,29.0604,47.1794,10.8275,10.8279,10.1966,4.7455,1004586586.55,35852390.77,1078072768.29,119600166.09,116865710.67,1564086544.78,454529050.81,1109557493.97,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
65,1.0417,67.4609,25.9632,13.5016,8.3065,5.879,1.9267,28730607320.49,399833154.05,26530351461.89,3125354512.39,3282597943.56,81364052881.92,54888929052.34,26475123829.58,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
66,0.9309,66.5744,25.0925,6.7961,5.6238,4.0516,2.1448,908443997.71,6033822.16,773758333.03,-33955611.71,41650835.02,1898897869.41,1264179280.16,634718589.25,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
67,0.7323,81.0569,34.9414,-43.0663,-28.734,-20.7134,9.8956,4619965.81,,,-97254543.75,-97393809.35,374997312.84,303961366.45,71035946.39,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
68,1.8591,29.3811,43.2385,6.7442,5.2322,5.8702,1.4326,1853831790.32,83221047.38,1484331781.94,-113997977.47,393270521.64,8963156227.5,2633478092.15,6329678135.35,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0
69,1.187,67.0611,12.8046,12.1002,8.2542,7.4584,3.3591,2032960061.16,8008961.25,1989717736.93,-46277290.82,55097041.81,1466009819.59,983122202.37,482887617.22,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
70,2.8363,23.5268,26.6596,13.3587,12.3201,12.5453,4.4283,651824715.63,12792627.83,468573650.62,4807315.05,66160745.6,687522118.37,161751816.83,525770301.54,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
71,2.9622,29.7409,41.0891,22.0836,19.2744,17.6303,2.4037,680474112.4,21519830.63,480414289.91,74948630.18,124336403.15,882724580.54,262529926.48,620194654.06,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
72,2.8666,24.3419,38.0433,40.1637,38.6501,33.203,6.9077,424961246.81,14819316.28,413650909.23,71293790.0,89848135.41,355371403.25,86504128.26,268867274.99,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
73,1.365,60.5034,46.6588,36.4201,35.8612,15.9674,8.1654,1109306207.78,44589812.2,1103339501.78,252831390.62,286237510.24,2307894943.64,1396355129.74,911539813.9,1.0,1.0,1.0,0.0,0.7071067811865476,2.0,2.0,1.0,1.0,1.0,2.0
74,1.6363,55.5532,2.8208,7.1118,6.796,6.1314,51.9469,56659906259.21,71212999.83,68161670763.06,-1542790911.28,398527845.22,12481003219.9,6933590635.97,5547412583.93,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
75,1.2893,59.8246,11.1812,10.3299,11.5293,8.1086,25.0399,4039842660.78,121010267.54,5378398070.98,904160682.58,366410158.11,6609698633.75,3954227705.2,2655470928.55,1.0,1.0,1.0,0.0,0.5773502691896257,3.0,3.0,1.0,1.0,1.0,3.0
76,2.5507,24.6424,23.8447,8.8304,8.0086,6.6661,5.7812,568056967.75,-329615.93,525019035.72,13146888.42,42016055.61,819702323.74,201993980.94,617708342.8,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0
77,1.0131,75.6776,32.833,13.6635,12.4756,6.7275,1.5293,7066146819.5,113495260.2,4344680064.22,1833894718.69,910443848.67,31186430662.85,23601147862.34,7585282800.51,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
78,2.6099,27.6991,30.0191,20.7427,20.0114,15.9608,3.9166,372379553.24,6642123.96,218536565.9,44836675.41,47015209.74,359798542.92,99661102.29,260137440.63,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
79,1.1042,55.1085,23.1214,14.5879,11.1713,7.4945,4.5293,422970533.82,5683314.99,347607889.19,-56277639.8,35008544.25,691293960.66,380961985.57,310331975.09,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
80,1.5335,45.5677,17.6058,1.0402,0.5899,1.5352,4.1108,1892632403.82,12081980.82,1822974925.73,-50716975.12,5316682.45,6349008097.65,2893095793.07,3455912304.58,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
81,1.2945,44.1064,17.9055,4.3843,3.3412,4.4057,4.105,191831950.88,1515093.54,143127641.39,-100201676.45,8662478.47,505446160.92,222934118.29,282512042.63,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
82,9.7813,10.9284,54.0609,13.2556,13.1386,13.1457,2.0025,347364304.93,11583434.43,267767616.86,6267490.99,73144180.08,825143491.91,90175091.46,734968400.45,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
83,1.4495,55.896,21.6112,18.3224,16.3854,11.0722,3.6607,170370035.49,1954771.39,73396017.21,13781133.55,14628097.98,239758677.99,134015540.74,105743137.25,1.0,1.0,1.0,0.0,0.7071067811865476,2.0,2.0,2.0,1.0,1.0,2.0
84,1.1517,62.1686,23.8875,5.5163,5.8395,4.6125,4.1296,1174670844.89,21694.5,913399871.57,157224965.52,38314554.44,1930819836.11,1200363552.68,730456283.43,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
85,2.4712,41.101,34.0554,4.6257,5.413,5.9173,89.8441,3644769338.52,139970413.95,1586942928.48,330520359.19,430876285.88,13039471595.48,5359348384.16,7680123211.32,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0
86,1.9188,33.0907,41.6517,,20.3943,15.3427,5.0682,427197945.8,11948759.48,400629032.43,51099343.51,81978896.94,612199683.86,202581016.84,409618667.02,1.0,1.0,1.0,0.5773502691896258,0.0,3.0,3.0,1.0,,,3.0
87,6.1363,17.9203,73.0718,17.3065,16.7778,16.2627,7.7308,390664161.73,18032538.48,406057595.23,138543386.9,103415409.97,761995256.62,136551885.1,625443371.52,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
88,2.0435,38.73,40.8296,8.9466,10.0849,6.7707,13.6654,947465898.19,5068327.61,921008704.93,135745441.63,96917346.78,1587560586.5,614862695.56,972697890.94,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
89,1.344,49.5781,25.3852,9.6483,8.5792,8.0269,3.6589,8270540870.17,235375566.29,5847832901.78,-381380586.68,1009856360.99,22073190367.51,10943458702.93,11129731664.58,1.0,1.0,1.0,0.0,0.7071067811865476,2.0,2.0,1.0,1.0,1.0,2.0
90,1.2034,82.7099,26.8814,81.0366,26.2612,11.2784,1.223,30964936.44,990948.23,74623060.91,8522227.01,5187036.21,73057679.7,60425965.39,12631714.31,1.0,2.0,1.5,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0
91,1.2674,56.3975,25.4662,20.405,13.3874,11.9493,6.7435,667352416.34,5644087.55,595696077.31,64219536.72,45995679.05,596904493.45,336639134.95,260265358.5,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
92,10.7608,8.9334,60.2007,15.7708,15.4866,16.6025,9.9695,310865113.13,16367141.26,290289668.18,124232049.35,106159246.52,775047461.09,69238093.05,705809368.04,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
93,3.1989,22.4831,11.7906,4.8848,6.4185,6.0652,9.2002,2056565728.89,11300975.6,1059931336.77,265335905.42,137218697.23,2651914249.5,596232418.3,2055681831.2,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
94,5.6075,16.846,18.6899,1.5902,2.3066,2.1837,2.883,104047620.21,370189.03,1108032879.95,4875940.35,31900465.7,2396578466.56,403726944.09,1992851522.47,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0
95,1.9015,50.9687,30.631,11.6048,9.0783,8.2076,3.4324,466279150.69,9983106.6,518038744.53,49532142.55,56522457.94,1040473772.16,530315491.15,510158281.01,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
96,2.5049,34.1716,31.5637,16.1438,15.5614,11.3033,3.1864,646920378.93,9401812.42,615948187.82,68773979.18,61295416.9,614891486.05,210118268.0,404773218.05,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
97,1.3425,65.0214,18.7977,-3.2711,2.8978,2.0767,1.7689,16726296633.08,10715350.88,15962722393.14,2724040950.51,-207535433.08,25579993915.73,16632482459.88,8947511455.85,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
98,2.3238,28.2222,22.5184,4.5595,5.1341,5.5054,1.436,1831317197.24,38558562.69,1556885753.88,-97929512.47,155110120.37,4207802442.44,1187533829.2,3020268613.24,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
99,2.6371,31.6461,44.451,25.8964,25.7563,20.2918,5.5479,535465146.51,8622717.03,504484288.23,64708485.75,93436672.8,526462957.32,166605016.58,359857940.74,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
100,2.3171,25.9009,26.2265,4.2531,3.9427,4.1764,2.996,779407279.46,8890130.2,664135373.81,59547178.7,121318727.98,4047613498.06,1048368192.23,2999245305.83,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
101,1.7629,56.4916,34.2664,11.9068,9.9608,8.3183,1.0896,393228471.4,9355919.99,167492510.81,-67404041.32,38719780.66,922553908.76,521165673.23,401388235.53,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
102,2.1429,36.6043,31.9622,2.6736,1.7941,2.7563,3.8437,1299251173.43,10951952.06,1275791103.12,97185860.43,21673803.75,2154554005.56,788659589.85,1365894415.71,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0
103,0.6992,56.5968,20.5684,16.2869,9.914,11.2824,51.4714,12411690491.2,474361361.97,14344086030.97,2761349265.06,1351927385.12,20236911145.55,11453434120.81,8783477024.74,1.0,1.0,1.0,0.7071067811865476,0.0,2.0,2.0,1.0,1.0,1.0,2.0
